index,img_id,img_path,qu_id,qu_sentence,qu_tokens,all_ans,valid_ans
0,128,preprocessed/img/img_train/abstract_v002_train2015_000000000128.png,1280,What are the letters?,"['what', 'are', 'the', 'letters', '?']","['yes', 'a,b,c,d', 'dbca', 'abcd']","['yes', 'dbca', 'abcd']"
1,128,preprocessed/img/img_train/abstract_v002_train2015_000000000128.png,1281,Is the dog on the rug?,"['is', 'the', 'dog', 'on', 'the', 'rug', '?']",['yes'],['yes']
2,128,preprocessed/img/img_train/abstract_v002_train2015_000000000128.png,1282,Do they look sad?,"['do', 'they', 'look', 'sad', '?']","['yes', 'no']","['yes', 'no']"
3,620,preprocessed/img/img_train/abstract_v002_train2015_000000000620.png,6200,Are the kids excited for the bbq?,"['are', 'the', 'kids', 'excited', 'for', 'the', 'bbq', '?']",['yes'],['yes']
4,620,preprocessed/img/img_train/abstract_v002_train2015_000000000620.png,6201,Are the kids on the right the biracial grand kids of the old man?,"['are', 'the', 'kids', 'on', 'the', 'right', 'the', 'biracial', 'grand', 'kids', 'of', 'the', 'old', 'man', '?']",['yes'],['yes']
5,620,preprocessed/img/img_train/abstract_v002_train2015_000000000620.png,6202,Is the person at the grill wearing long or short pants?,"['is', 'the', 'person', 'at', 'the', 'grill', 'wearing', 'long', 'or', 'short', 'pants', '?']","['long', 'long pants']","['long', 'long pants']"
6,557,preprocessed/img/img_train/abstract_v002_train2015_000000000557.png,5570,Are there people playing?,"['are', 'there', 'people', 'playing', '?']",['no'],['no']
7,557,preprocessed/img/img_train/abstract_v002_train2015_000000000557.png,5571,Is it sunny?,"['is', 'it', 'sunny', '?']",['yes'],['yes']
8,557,preprocessed/img/img_train/abstract_v002_train2015_000000000557.png,5572,What color is the sand?,"['what', 'color', 'is', 'the', 'sand', '?']","['beige', 'tan', 'brown', 'brown and purple']","['beige', 'tan', 'brown', 'brown and purple']"
9,32,preprocessed/img/img_train/abstract_v002_train2015_000000000032.png,320,"What is the smaller version of the thing under the man's feet, often found at the doorstep, called?","['what', 'is', 'the', 'smaller', 'version', 'of', 'the', 'thing', 'under', 'the', 'man', ""'"", 's', 'feet', ',', 'often', 'found', 'at', 'the', 'doorstep', ',', 'called', '?']","['doormat', 'mat', 'welcome mat', 'rug']","['doormat', 'rug', 'welcome mat', 'mat']"
10,32,preprocessed/img/img_train/abstract_v002_train2015_000000000032.png,321,How many pictures are there?,"['how', 'many', 'pictures', 'are', 'there', '?']",['2'],['2']
11,32,preprocessed/img/img_train/abstract_v002_train2015_000000000032.png,322,Is the man in the gray pants immature?,"['is', 'the', 'man', 'in', 'the', 'gray', 'pants', 'immature', '?']","['yes', 'no']","['yes', 'no']"
12,851,preprocessed/img/img_train/abstract_v002_train2015_000000000851.png,8512,Is there a painting above her head?,"['is', 'there', 'a', 'painting', 'above', 'her', 'head', '?']",['yes'],['yes']
13,851,preprocessed/img/img_train/abstract_v002_train2015_000000000851.png,8510,What is the woman holding in her hand?,"['what', 'is', 'the', 'woman', 'holding', 'in', 'her', 'hand', '?']","['bear', 'toys', 'teddy bear and robot', 'teddy bear']","['bear', 'toys', 'teddy bear and robot', 'teddy bear']"
14,851,preprocessed/img/img_train/abstract_v002_train2015_000000000851.png,8511,What color is the tablecloth?,"['what', 'color', 'is', 'the', 'tablecloth', '?']",['white'],['white']
15,425,preprocessed/img/img_train/abstract_v002_train2015_000000000425.png,4250,How many animals are in the room?,"['how', 'many', 'animals', 'are', 'in', 'the', 'room', '?']","['1', '2']","['1', '2']"
16,425,preprocessed/img/img_train/abstract_v002_train2015_000000000425.png,4251,What is on the coffee table?,"['what', 'is', 'on', 'the', 'coffee', 'table', '?']","['banana split', 'desert', 'sundae', 'cupcake', 'ice cream', 'dessert', 'food']","['banana split', 'desert', 'sundae', 'cupcake', 'ice cream', 'dessert', 'food']"
17,425,preprocessed/img/img_train/abstract_v002_train2015_000000000425.png,4252,How many boys are there?,"['how', 'many', 'boys', 'are', 'there', '?']","['1', '2']","['1', '2']"
18,235,preprocessed/img/img_train/abstract_v002_train2015_000000000235.png,2352,Whose animals are this?,"['whose', 'animals', 'are', 'this', '?']","[""grandma's"", 'girl', 'girls', ""girl's""]","['girl', 'girls']"
19,235,preprocessed/img/img_train/abstract_v002_train2015_000000000235.png,2350,What color is the dog on the left?,"['what', 'color', 'is', 'the', 'dog', 'on', 'the', 'left', '?']","['yellow', 'brown', 'brown and white', 'orange and white', 'tan and white', 'orange', 'tan']","['yellow', 'brown', 'brown and white', 'orange and white', 'tan and white', 'orange', 'tan']"
20,235,preprocessed/img/img_train/abstract_v002_train2015_000000000235.png,2351,How many cats are sleeping on the rug?,"['how', 'many', 'cats', 'are', 'sleeping', 'on', 'the', 'rug', '?']","['4', '3', '1', '2']","['4', '3', '1', '2']"
21,512,preprocessed/img/img_train/abstract_v002_train2015_000000000512.png,5120,What is the child on?,"['what', 'is', 'the', 'child', 'on', '?']","['blue chair', 'chair']","['blue chair', 'chair']"
22,512,preprocessed/img/img_train/abstract_v002_train2015_000000000512.png,5121,What color is the couch?,"['what', 'color', 'is', 'the', 'couch', '?']",['red'],['red']
23,512,preprocessed/img/img_train/abstract_v002_train2015_000000000512.png,5122,What color is the chair?,"['what', 'color', 'is', 'the', 'chair', '?']","['blue', 'red']","['blue', 'red']"
24,729,preprocessed/img/img_train/abstract_v002_train2015_000000000729.png,7290,Is the boy kicking with his left foot?,"['is', 'the', 'boy', 'kicking', 'with', 'his', 'left', 'foot', '?']","['soccer ball', 'yes']","['soccer ball', 'yes']"
25,729,preprocessed/img/img_train/abstract_v002_train2015_000000000729.png,7291,Can both boys play soccer?,"['can', 'both', 'boys', 'play', 'soccer', '?']",['yes'],['yes']
26,729,preprocessed/img/img_train/abstract_v002_train2015_000000000729.png,7292,What is in the sandbox?,"['what', 'is', 'in', 'the', 'sandbox', '?']","['shovel and bucket', 'shovel, pail', 'toy shovel and toy bucket', 'bucket and shovel', 'bucket', 'toys', 'pail and shovel', 'sand', 'shovel']","['shovel and bucket', 'toy shovel and toy bucket', 'bucket and shovel', 'toys', 'bucket', 'pail and shovel', 'sand', 'shovel']"
27,749,preprocessed/img/img_train/abstract_v002_train2015_000000000749.png,7490,What is the man eating at the table?,"['what', 'is', 'the', 'man', 'eating', 'at', 'the', 'table', '?']","['melon', 'watermelon']","['melon', 'watermelon']"
28,749,preprocessed/img/img_train/abstract_v002_train2015_000000000749.png,7491,How many chairs are there?,"['how', 'many', 'chairs', 'are', 'there', '?']","['3', '2']","['3', '2']"
29,749,preprocessed/img/img_train/abstract_v002_train2015_000000000749.png,7492,Why isn't the watermelon already cut into serving pieces?,"['why', 'isn', ""'"", 't', 'the', 'watermelon', 'already', 'cut', 'into', 'serving', 'pieces', '?']","[""someone's lazy"", 'some is', 'no knife', 'no knife available to cut it', 'waiting', 'because it is whole', ""he's boy"", 'waiting for company']","['some is', 'no knife', 'no knife available to cut it', 'waiting for company', 'because it is whole', 'waiting']"
30,333,preprocessed/img/img_train/abstract_v002_train2015_000000000333.png,3330,What kind of ball is that?,"['what', 'kind', 'of', 'ball', 'is', 'that', '?']","['soccer', 'soccer ball']","['soccer', 'soccer ball']"
31,333,preprocessed/img/img_train/abstract_v002_train2015_000000000333.png,3331,What sport is he playing?,"['what', 'sport', 'is', 'he', 'playing', '?']",['soccer'],['soccer']
32,333,preprocessed/img/img_train/abstract_v002_train2015_000000000333.png,3332,Where is the tree?,"['where', 'is', 'the', 'tree', '?']","['right side', 'park', 'right', 'in grass', 'to right', 'very right', 'on right', 'grass']","['right side', 'park', 'right', 'to right', 'in grass', 'very right', 'on right', 'grass']"
33,542,preprocessed/img/img_train/abstract_v002_train2015_000000000542.png,5420,What direction is the bird flying?,"['what', 'direction', 'is', 'the', 'bird', 'flying', '?']","['to right', 'right']","['to right', 'right']"
34,542,preprocessed/img/img_train/abstract_v002_train2015_000000000542.png,5421,How many turtles?,"['how', 'many', 'turtles', '?']",['1'],['1']
35,542,preprocessed/img/img_train/abstract_v002_train2015_000000000542.png,5422,Is the sky cloudy?,"['is', 'the', 'sky', 'cloudy', '?']",['no'],['no']
36,683,preprocessed/img/img_train/abstract_v002_train2015_000000000683.png,6832,Is the old woman getting up from the chair?,"['is', 'the', 'old', 'woman', 'getting', 'up', 'from', 'the', 'chair', '?']","['yes', 'no']","['yes', 'no']"
37,683,preprocessed/img/img_train/abstract_v002_train2015_000000000683.png,6830,How many shelves are in the bookcase?,"['how', 'many', 'shelves', 'are', 'in', 'the', 'bookcase', '?']","['0', '4', '5']","['0', '4', '5']"
38,683,preprocessed/img/img_train/abstract_v002_train2015_000000000683.png,6831,What is that cat doing?,"['what', 'is', 'that', 'cat', 'doing', '?']","['jumping towards woman', 'climbing chair', 'stretching', ""jumping into woman's lap"", 'scratching', 'jumping']","['jumping towards woman', 'climbing chair', 'stretching', 'scratching', 'jumping']"
39,234,preprocessed/img/img_train/abstract_v002_train2015_000000000234.png,2340,What is the boy doing on the couch?,"['what', 'is', 'the', 'boy', 'doing', 'on', 'the', 'couch', '?']","['bouncing', 'jumping']","['bouncing', 'jumping']"
40,234,preprocessed/img/img_train/abstract_v002_train2015_000000000234.png,2341,Is the woman headed towards the boy?,"['is', 'the', 'woman', 'headed', 'towards', 'the', 'boy', '?']",['yes'],['yes']
41,234,preprocessed/img/img_train/abstract_v002_train2015_000000000234.png,2342,Does the woman approve of what the boy is doing?,"['does', 'the', 'woman', 'approve', 'of', 'what', 'the', 'boy', 'is', 'doing', '?']",['no'],['no']
42,203,preprocessed/img/img_train/abstract_v002_train2015_000000000203.png,2032,What is the man holding?,"['what', 'is', 'the', 'man', 'holding', '?']","['sandwich', 'bread', 'toast', 'peanut butter bread']","['sandwich', 'toast', 'bread', 'peanut butter bread']"
43,203,preprocessed/img/img_train/abstract_v002_train2015_000000000203.png,2030,Is the man doing yoga?,"['is', 'the', 'man', 'doing', 'yoga', '?']",['no'],['no']
44,203,preprocessed/img/img_train/abstract_v002_train2015_000000000203.png,2031,Where is the dog?,"['where', 'is', 'the', 'dog', '?']","['ottoman', 'on ottoman', 'table', 'on stool', 'stool']","['ottoman', 'on ottoman', 'on stool', 'stool', 'table']"
45,898,preprocessed/img/img_train/abstract_v002_train2015_000000000898.png,8980,How many blue butterflies in the sky?,"['how', 'many', 'blue', 'butterflies', 'in', 'the', 'sky', '?']",['1'],['1']
46,898,preprocessed/img/img_train/abstract_v002_train2015_000000000898.png,8981,What color is the butterfly?,"['what', 'color', 'is', 'the', 'butterfly', '?']","['blue', 'black']","['blue', 'black']"
47,898,preprocessed/img/img_train/abstract_v002_train2015_000000000898.png,8982,Who is holding the Frisbee?,"['who', 'is', 'holding', 'the', 'frisbee', '?']","['girl', 'little girl', 'young girl']","['girl', 'little girl', 'young girl']"
48,754,preprocessed/img/img_train/abstract_v002_train2015_000000000754.png,7540,Is this a cardiac healthy activity?,"['is', 'this', 'a', 'cardiac', 'healthy', 'activity', '?']",['yes'],['yes']
49,754,preprocessed/img/img_train/abstract_v002_train2015_000000000754.png,7541,What is the woman doing?,"['what', 'is', 'the', 'woman', 'doing', '?']","['jump roping', 'jumping rope', 'jumping', 'jump rope']","['jumping rope', 'jump roping', 'jumping', 'jump rope']"
50,754,preprocessed/img/img_train/abstract_v002_train2015_000000000754.png,7542,Is anyone sitting on the bench?,"['is', 'anyone', 'sitting', 'on', 'the', 'bench', '?']",['no'],['no']
51,462,preprocessed/img/img_train/abstract_v002_train2015_000000000462.png,4620,What is in the sky?,"['what', 'is', 'in', 'the', 'sky', '?']",['sun'],['sun']
52,462,preprocessed/img/img_train/abstract_v002_train2015_000000000462.png,4621,What color is the sky?,"['what', 'color', 'is', 'the', 'sky', '?']","['light blue', 'blue']","['light blue', 'blue']"
53,462,preprocessed/img/img_train/abstract_v002_train2015_000000000462.png,4622,Is it sunny out?,"['is', 'it', 'sunny', 'out', '?']",['yes'],['yes']
54,102,preprocessed/img/img_train/abstract_v002_train2015_000000000102.png,1020,Where is the girl sitting?,"['where', 'is', 'the', 'girl', 'sitting', '?']","[""man's lap"", ""grandpa's lap"", ""old man's lap"", ""on man's lap"", 'lap', 'his lap']","['lap', 'his lap']"
55,102,preprocessed/img/img_train/abstract_v002_train2015_000000000102.png,1021,Is the old man telling her a story?,"['is', 'the', 'old', 'man', 'telling', 'her', 'a', 'story', '?']","['yes', 'possibly']","['yes', 'possibly']"
56,102,preprocessed/img/img_train/abstract_v002_train2015_000000000102.png,1022,What is on the floor?,"['what', 'is', 'on', 'the', 'floor', '?']","['rug', 'dog', 'cat', 'pet']","['dog', 'rug', 'cat', 'pet']"
57,137,preprocessed/img/img_train/abstract_v002_train2015_000000000137.png,1370,Are there two pound in the park?,"['are', 'there', 'two', 'pound', 'in', 'the', 'park', '?']","['yes', 'no']","['yes', 'no']"
58,137,preprocessed/img/img_train/abstract_v002_train2015_000000000137.png,1371,How is the weather?,"['how', 'is', 'the', 'weather', '?']","['sunny', 'partly cloudy', 'nice', 'sunny with clouds', 'warm']","['sunny', 'partly cloudy', 'nice', 'sunny with clouds', 'warm']"
59,137,preprocessed/img/img_train/abstract_v002_train2015_000000000137.png,1372,How many ducks are there?,"['how', 'many', 'ducks', 'are', 'there', '?']","['5', '6']","['5', '6']"
60,621,preprocessed/img/img_train/abstract_v002_train2015_000000000621.png,6210,Where will they unpack the picnic basket?,"['where', 'will', 'they', 'unpack', 'the', 'picnic', 'basket', '?']","['on mat', 'near blanket', 'picnic basket', 'picnic blanket', 'blanket', 'by pond', 'on blanket']","['on mat', 'near blanket', 'picnic basket', 'picnic blanket', 'blanket', 'by pond', 'on blanket']"
