index,img_id,img_path,qu_id,qu_sentence,qu_tokens,all_ans,valid_ans
0,3371,preprocessed/img\img_train\abstract_v002_train2015_000000003371.png,33712,What is the predominant color of the room?,"['what', 'is', 'the', 'predominant', 'color', 'of', 'the', 'room', '?']","['light brown', 'beige', 'tan', 'brown']","['light brown', 'beige', 'tan', 'brown']"
1,3371,preprocessed/img\img_train\abstract_v002_train2015_000000003371.png,33710,Who will she give the bone to?,"['who', 'will', 'she', 'give', 'the', 'bone', 'to', '?']","['dog', 'pug']","['dog', 'pug']"
2,3371,preprocessed/img\img_train\abstract_v002_train2015_000000003371.png,33711,What is the woman holding?,"['what', 'is', 'the', 'woman', 'holding', '?']",['bone'],['bone']
3,1527,preprocessed/img\img_train\abstract_v002_train2015_000000001527.png,15272,How many people are in the room?,"['how', 'many', 'people', 'are', 'in', 'the', 'room', '?']",['1'],['1']
4,1527,preprocessed/img\img_train\abstract_v002_train2015_000000001527.png,15270,What color is the dog?,"['what', 'color', 'is', 'the', 'dog', '?']","['gray', 'tan', 'brown']","['gray', 'tan', 'brown']"
5,1527,preprocessed/img\img_train\abstract_v002_train2015_000000001527.png,15271,Is the man falling?,"['is', 'the', 'man', 'falling', '?']",['yes'],['yes']
6,2592,preprocessed/img\img_train\abstract_v002_train2015_000000002592.png,25920,Is little baby trying to walk?,"['is', 'little', 'baby', 'trying', 'to', 'walk', '?']",['yes'],['yes']
7,2592,preprocessed/img\img_train\abstract_v002_train2015_000000002592.png,25921,Is there a woman on the couch?,"['is', 'there', 'a', 'woman', 'on', 'the', 'couch', '?']",['yes'],['yes']
8,2592,preprocessed/img\img_train\abstract_v002_train2015_000000002592.png,25922,Is the couch sitting against the wall?,"['is', 'the', 'couch', 'sitting', 'against', 'the', 'wall', '?']",['no'],['no']
9,1329,preprocessed/img\img_train\abstract_v002_train2015_000000001329.png,13290,What is the woman doing outside?,"['what', 'is', 'the', 'woman', 'doing', 'outside', '?']","['sitting alone', 'having picnic', 'picnic', 'resting', 'sitting on ground', 'sitting', 'picnicking']","['sitting alone', 'having picnic', 'picnic', 'resting', 'sitting on ground', 'sitting', 'picnicking']"
10,1329,preprocessed/img\img_train\abstract_v002_train2015_000000001329.png,13291,How many logs on the grass?,"['how', 'many', 'logs', 'on', 'the', 'grass', '?']",['2'],['2']
11,1329,preprocessed/img\img_train\abstract_v002_train2015_000000001329.png,13292,What is on the blanket?,"['what', 'is', 'on', 'the', 'blanket', '?']","['food', 'basket, food, and cup', 'basket', 'basket food and cup', 'food and basket', 'basket, food']","['food', 'food and basket', 'basket food and cup', 'basket']"
12,128,preprocessed/img\img_train\abstract_v002_train2015_000000000128.png,1280,What are the letters?,"['what', 'are', 'the', 'letters', '?']","['yes', 'dbca', 'abcd', 'a,b,c,d']","['yes', 'dbca', 'abcd']"
13,128,preprocessed/img\img_train\abstract_v002_train2015_000000000128.png,1281,Is the dog on the rug?,"['is', 'the', 'dog', 'on', 'the', 'rug', '?']",['yes'],['yes']
14,128,preprocessed/img\img_train\abstract_v002_train2015_000000000128.png,1282,Do they look sad?,"['do', 'they', 'look', 'sad', '?']","['yes', 'no']","['yes', 'no']"
15,1203,preprocessed/img\img_train\abstract_v002_train2015_000000001203.png,12032,How many bushes are there?,"['how', 'many', 'bushes', 'are', 'there', '?']",['2'],['2']
16,1203,preprocessed/img\img_train\abstract_v002_train2015_000000001203.png,12030,What color shirt does the boy with the bat have on?,"['what', 'color', 'shirt', 'does', 'the', 'boy', 'with', 'the', 'bat', 'have', 'on', '?']","['black', 'blue', 'brown']","['black', 'blue', 'brown']"
17,1203,preprocessed/img\img_train\abstract_v002_train2015_000000001203.png,12031,What are the boys playing?,"['what', 'are', 'the', 'boys', 'playing', '?']","['park', 'baseball']","['park', 'baseball']"
18,620,preprocessed/img\img_train\abstract_v002_train2015_000000000620.png,6200,Are the kids excited for the bbq?,"['are', 'the', 'kids', 'excited', 'for', 'the', 'bbq', '?']",['yes'],['yes']
19,620,preprocessed/img\img_train\abstract_v002_train2015_000000000620.png,6201,Are the kids on the right the biracial grand kids of the old man?,"['are', 'the', 'kids', 'on', 'the', 'right', 'the', 'biracial', 'grand', 'kids', 'of', 'the', 'old', 'man', '?']",['yes'],['yes']
20,620,preprocessed/img\img_train\abstract_v002_train2015_000000000620.png,6202,Is the person at the grill wearing long or short pants?,"['is', 'the', 'person', 'at', 'the', 'grill', 'wearing', 'long', 'or', 'short', 'pants', '?']","['long pants', 'long']","['long pants', 'long']"
21,1756,preprocessed/img\img_train\abstract_v002_train2015_000000001756.png,17560,Does the dog belong to the girl?,"['does', 'the', 'dog', 'belong', 'to', 'the', 'girl', '?']",['yes'],['yes']
22,1756,preprocessed/img\img_train\abstract_v002_train2015_000000001756.png,17561,Is there any toys in the sandbox?,"['is', 'there', 'any', 'toys', 'in', 'the', 'sandbox', '?']",['no'],['no']
23,1756,preprocessed/img\img_train\abstract_v002_train2015_000000001756.png,17562,Are there any tall trees at the playground?,"['are', 'there', 'any', 'tall', 'trees', 'at', 'the', 'playground', '?']",['no'],['no']
24,2469,preprocessed/img\img_train\abstract_v002_train2015_000000002469.png,24690,What is the plant sitting on?,"['what', 'is', 'the', 'plant', 'sitting', 'on', '?']","['pot', 'side table', 'table', 'stool']","['side table', 'stool', 'table', 'pot']"
