question_type,multiple_choice_answer,answers,image_id,answer_type
how many people are,2,"[{'answer': '2', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 10}]",20046,number
do the,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20046,yes/no
what is the boy,blocks,"[{'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'cubes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'blocks', 'answer_confidence': 'yes', 'answer_id': 10}]",20046,other
is there,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20020,yes/no
what is,plant,"[{'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 10}]",20020,other
is the dog,sleeping,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'sleeping', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'sleeping', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'sleeping', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'sleeping', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'sleeping', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'sleeping', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'sleeping', 'answer_confidence': 'yes', 'answer_id': 10}]",20020,other
is it,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20120,yes/no
who,boy,"[{'answer': 'boy', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'boy', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'boy', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'boy', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'boy', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'boy', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'boy', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'boy', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'boy', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'boy', 'answer_confidence': 'yes', 'answer_id': 10}]",20120,other
is the dog,yes,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20120,yes/no
what color is the,blue,"[{'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'blue', 'answer_confidence': 'yes', 'answer_id': 10}]",20072,other
